Frame;Time;Forest_structure;Snow_type;Runout_distance;Front_velocity;Particles_staying
0;0,000000;No forest;Snow type 1;0,000000;0,000000;1,000000
1;0,333333;No forest;Snow type 1;0,078029;1,300458;0,999435
2;0,666667;No forest;Snow type 1;0,518657;2,313049;0,989265
3;1,000000;No forest;Snow type 1;1,214694;3,284614;0,971964
4;1,333333;No forest;Snow type 1;2,159885;4,207663;0,948941
5;1,666667;No forest;Snow type 1;3,339262;5,121814;0,920448
6;2,000000;No forest;Snow type 1;4,746869;6,000799;0,885825
7;2,333333;No forest;Snow type 1;6,379138;6,874002;0,844925
8;2,666667;No forest;Snow type 1;8,234752;7,715927;0,798189
9;3,000000;No forest;Snow type 1;10,311765;8,582026;0,744912
10;3,333333;No forest;Snow type 1;12,610743;9,463844;0,685552
11;3,666667;No forest;Snow type 1;15,129922;10,328776;0,619671
12;4,000000;No forest;Snow type 1;17,870073;11,175850;0,547670
13;4,333333;No forest;Snow type 1;20,829964;12,032327;0,469759
14;4,666667;No forest;Snow type 1;24,009356;12,883250;0,386185
15;5,000000;No forest;Snow type 1;27,403071;13,718650;0,298279
16;5,333333;No forest;Snow type 1;31,011045;14,556378;0,209705
17;5,666667;No forest;Snow type 1;34,833146;15,392722;0,126706
18;6,000000;No forest;Snow type 1;38,869374;16,231276;0,054667
19;6,333333;No forest;Snow type 1;43,119698;17,067872;0,000346
20;6,666667;No forest;Snow type 1;47,584318;17,912010;0,000000
21;7,000000;No forest;Snow type 1;52,262978;18,745492;0,000000
22;7,333333;No forest;Snow type 1;57,155892;19,584444;0,000000
23;7,666667;No forest;Snow type 1;62,263194;20,427352;0,000000
24;8,000000;No forest;Snow type 1;67,585034;21,263279;0,000000
25;8,333333;No forest;Snow type 1;73,121220;22,103487;0,000000
26;8,666667;No forest;Snow type 1;78,871622;22,941178;0,000000
27;9,000000;No forest;Snow type 1;84,836286;23,780210;0,000000
28;9,333333;No forest;Snow type 1;91,015649;24,621274;0,000000
29;9,666667;No forest;Snow type 1;97,409518;25,465679;0,000000
30;10,000000;No forest;Snow type 1;104,018289;26,307596;0,000000
31;10,333333;No forest;Snow type 1;110,841991;27,145222;0,000000
32;10,666667;No forest;Snow type 1;117,880292;27,985256;0,000000
33;11,000000;No forest;Snow type 1;125,169078;24,781083;0,000000
34;11,333333;No forest;Snow type 1;132,381773;21,199689;0,000000
35;11,666667;No forest;Snow type 1;139,052176;19,691187;0,000000
36;12,000000;No forest;Snow type 1;145,316326;18,483029;0,000000
37;12,333333;No forest;Snow type 1;151,187974;17,302016;0,000000
38;12,666667;No forest;Snow type 1;156,677269;16,150203;0,000000
39;13,000000;No forest;Snow type 1;161,792997;15,021010;0,000000
40;13,333333;No forest;Snow type 1;166,541704;13,917558;0,000000
41;13,666667;No forest;Snow type 1;170,930002;12,823653;0,000000
42;14,000000;No forest;Snow type 1;174,963124;11,750191;0,000000
43;14,333333;No forest;Snow type 1;178,644911;10,686238;0,000000
44;14,666667;No forest;Snow type 1;181,978745;9,626549;0,000000
45;15,000000;No forest;Snow type 1;184,965917;8,573843;0,000000
46;15,333333;No forest;Snow type 1;187,608964;7,538314;0,000000
47;15,666667;No forest;Snow type 1;189,925926;6,584548;0,000000
48;16,000000;No forest;Snow type 1;191,923587;5,586026;0,000000
49;16,333333;No forest;Snow type 1;193,595364;4,593884;0,000000
50;16,666667;No forest;Snow type 1;194,934791;3,590278;0,000000
51;17,000000;No forest;Snow type 1;195,941926;2,513931;0,000000
52;17,333333;No forest;Snow type 1;196,597507;1,472076;0,000000
53;17,666667;No forest;Snow type 1;196,907173;0,434437;0,000000
54;18,000000;No forest;Snow type 1;196,968129;0,094002;0,000000
55;18,333333;No forest;Snow type 1;196,989024;0,039018;0,000000
56;18,666667;No forest;Snow type 1;196,997300;0,021646;0,000000
57;19,000000;No forest;Snow type 1;197,002988;0,012682;0,000000
58;19,333333;No forest;Snow type 1;197,005803;0,006290;0,000000
59;19,666667;No forest;Snow type 1;197,006862;0,001153;0,000000
60;20,000000;No forest;Snow type 1;197,006904;0,000419;0,000000
61;20,333333;No forest;Snow type 1;197,006904;0,000412;0,000000
62;20,666667;No forest;Snow type 1;197,006904;0,000405;0,000000
63;21,000000;No forest;Snow type 1;197,006904;0,000396;0,000000
64;21,333333;No forest;Snow type 1;197,006904;0,000393;0,000000
65;21,666667;No forest;Snow type 1;197,006904;0,000392;0,000000
66;22,000000;No forest;Snow type 1;197,006904;0,000390;0,000000
67;22,333333;No forest;Snow type 1;197,006904;0,000388;0,000000
68;22,666667;No forest;Snow type 1;197,006904;0,000389;0,000000
69;23,000000;No forest;Snow type 1;197,006904;0,000389;0,000000
70;23,333333;No forest;Snow type 1;197,006904;0,000393;0,000000
71;23,666667;No forest;Snow type 1;197,006904;0,000389;0,000000
72;24,000000;No forest;Snow type 1;197,006904;0,000387;0,000000
73;24,333333;No forest;Snow type 1;197,006904;0,000386;0,000000
74;24,666667;No forest;Snow type 1;197,006904;0,000384;0,000000
75;25,000000;No forest;Snow type 1;197,006904;0,000386;0,000000
76;25,333333;No forest;Snow type 1;197,006904;0,000387;0,000000
77;25,666667;No forest;Snow type 1;197,006904;0,000390;0,000000
78;26,000000;No forest;Snow type 1;197,006904;0,000393;0,000000
79;26,333333;No forest;Snow type 1;197,006904;0,000390;0,000000
80;26,666667;No forest;Snow type 1;197,006904;0,000390;0,000000
81;27,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
82;27,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
83;27,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
84;28,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
85;28,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
86;28,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
87;29,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
88;29,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
89;29,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
90;30,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
91;30,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
92;30,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
93;31,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
94;31,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
95;31,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
96;32,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
97;32,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
98;32,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
99;33,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
100;33,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
101;33,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
102;34,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
103;34,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
104;34,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
105;35,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
106;35,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
107;35,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
108;36,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
109;36,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
110;36,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
111;37,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
112;37,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
113;37,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
114;38,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
115;38,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
116;38,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
117;39,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
118;39,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
119;39,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
120;40,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
121;40,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
122;40,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
123;41,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
124;41,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
125;41,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
126;42,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
127;42,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
128;42,666667;No forest;Snow type 1;197,006904;0,000000;0,000000
129;43,000000;No forest;Snow type 1;197,006904;0,000000;0,000000
130;43,333333;No forest;Snow type 1;197,006904;0,000000;0,000000
0;0,000000;No forest;Snow type 2;0,000000;0,000000;1,000000
1;0,333333;No forest;Snow type 2;0,056600;0,877885;0,999775
2;0,666667;No forest;Snow type 2;0,380299;1,704500;0,993719
3;1,000000;No forest;Snow type 2;0,912339;2,528287;0,978601
4;1,333333;No forest;Snow type 2;1,665939;3,394619;0,957128
5;1,666667;No forest;Snow type 2;2,636814;4,222864;0,929389
6;2,000000;No forest;Snow type 2;3,819078;5,067094;0,895628
7;2,333333;No forest;Snow type 2;5,220693;5,919427;0,855582
8;2,666667;No forest;Snow type 2;6,837779;6,756958;0,809475
9;3,000000;No forest;Snow type 2;8,668993;7,611470;0,757124
10;3,333333;No forest;Snow type 2;10,718553;8,454772;0,698622
11;3,666667;No forest;Snow type 2;12,983004;9,289057;0,633846
12;4,000000;No forest;Snow type 2;15,461888;10,139564;0,562917
13;4,333333;No forest;Snow type 2;18,157905;10,981674;0,485700
14;4,666667;No forest;Snow type 2;21,067345;11,812476;0,402435
15;5,000000;No forest;Snow type 2;24,190007;12,652030;0,313109
16;5,333333;No forest;Snow type 2;27,527350;13,491755;0,217617
